Temperature 1 (K),Temperature 2 (K),Temperature 3 (K),Uncertainty (K),Time (s)
336.15,341.65,346.65,2.25,480
336.15,341.65,346.15,2.25,481
336.15,341.4,346.4,2.25,482
336.15,341.15,346.15,2.25,483
335.9,340.9,346.15,2.25,484
336.15,340.65,346.4,2.25,485
336.15,340.4,346.4,2.25,486
335.15,340.65,345.65,2.25,487
335.65,340.9,345.15,2.25,488
335.15,340.15,345.65,2.25,489
335.4,340.15,345.9,2.25,490
335.15,340.15,345.65,2.25,491
335.4,340.4,345.9,2.25,492
335.15,340.4,345.9,2.25,493
335.15,340.15,345.9,2.25,494
335.4,340.15,345.65,2.25,495
334.65,339.9,345.15,2.25,496
334.4,340.4,345.65,2.25,497
334.65,340.15,345.65,2.25,498
334.65,340.4,345.9,2.25,499
331.4,339.65,345.65,2.25,500
331.65,340.4,345.15,2.25,501
331.65,339.65,345.15,2.25,502
335.15,340.65,345.15,2.25,503
335.15,340.4,345.65,2.25,504
331.4,340.4,345.15,2.25,505
333.65,340.4,345.4,2.25,506
334.15,340.65,345.4,2.25,507
333.9,340.4,344.9,2.25,508
334.65,340.9,345.65,2.25,509
335.15,340.65,345.9,2.25,510
334.65,340.4,345.4,2.25,511
333.15,340.15,344.4,2.25,512
332.4,339.9,345.15,2.25,513
334.9,340.4,345.4,2.25,514
332.9,340.4,344.9,2.25,515
334.65,340.65,345.4,2.25,516
334.9,339.9,345.15,2.25,517
334.65,340.4,345.9,2.25,518
334.15,340.4,345.65,2.25,519
333.9,340.4,345.65,2.25,520
333.65,339.9,344.9,2.25,521
334.65,340.15,345.9,2.25,522
333.65,339.65,344.4,2.25,523
333.9,340.15,344.65,2.25,524
334.4,339.9,345.65,2.25,525
334.4,340.15,344.9,2.25,526
334.15,339.9,345.65,2.25,527
333.4,339.9,344.4,2.25,528
334.15,340.15,345.4,2.25,529
333.65,339.9,344.65,2.25,530
334.15,339.4,345.4,2.25,531
334.4,339.65,345.4,2.25,532
334.4,340.15,345.4,2.25,533
333.4,339.4,345.15,2.25,534
329.9,339.65,344.65,2.25,535
333.15,339.65,343.65,2.25,536
329.9,339.15,344.65,2.25,537
332.15,338.9,343.9,2.25,538
331.65,340.15,345.15,2.25,539
332.65,340.15,344.4,2.25,540
333.4,339.9,344.9,2.25,541
333.9,339.65,344.9,2.25,542
333.65,339.65,344.4,2.25,543
333.4,339.65,344.65,2.25,544
331.9,339.65,344.15,2.25,545
331.9,338.4,344.15,2.25,546
329.9,338.9,343.9,2.25,547
330.4,338.15,343.9,2.25,548
329.4,338.65,344.15,2.25,549
333.15,339.4,344.15,2.25,550
333.4,339.65,344.65,2.25,551
333.4,339.4,344.65,2.25,552
332.9,339.65,344.4,2.25,553
331.4,338.15,344.65,2.25,554
331.65,337.4,343.9,2.25,555
330.65,338.15,343.65,2.25,556
330.65,337.9,343.9,2.25,557
331.15,337.9,343.9,2.25,558
331.9,339.15,344.15,2.25,559
332.4,338.9,344.15,2.25,560
332.65,339.15,344.4,2.25,561
330.65,339.15,343.9,2.25,562
329.4,339.15,344.15,2.25,563
327.4,338.9,343.4,2.25,564
326.9,337.65,343.4,2.25,565
327.4,338.4,343.4,2.25,566
327.4,338.4,343.65,2.25,567
326.65,338.15,342.9,2.25,568
328.15,338.4,342.9,2.25,569
328.15,338.4,343.9,2.25,570
328.15,338.15,343.65,2.25,571
328.4,338.4,343.65,2.25,572
326.65,338.15,343.65,2.25,573
326.65,337.9,343.65,2.25,574
326.4,337.9,343.65,2.25,575
326.65,337.9,343.4,2.25,576
326.9,337.9,343.15,2.25,577
326.4,337.65,343.65,2.25,578
326.15,337.65,343.15,2.25,579
326.65,337.4,342.9,2.25,580
326.15,337.15,343.65,2.25,581
326.65,337.65,343.15,2.25,582
326.4,337.4,343.4,2.25,583
327.4,337.9,343.65,2.25,584
327.65,338.4,343.4,2.25,585
327.65,338.15,343.15,2.25,586
326.15,337.65,343.15,2.25,587
326.4,337.15,342.9,2.25,588
326.4,337.4,342.9,2.25,589
326.15,337.65,343.15,2.25,590
326.15,337.15,343.15,2.25,591
326.4,336.9,342.9,2.25,592
326.15,336.65,342.9,2.25,593
326.15,337.4,342.4,2.25,594
326.15,336.9,342.9,2.25,595
326.15,337.15,342.65,2.25,596
